# R2 calibration run — HTTP + Postgres SELECT FOR UPDATE, two regimes
# date: 2026-08-11
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: PostgreSQL 17.10 (Homebrew, throwaway local instance, max_connections=450), psycopg 3
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
128,7,hot,2067.5,4135,42.907,176.852,278.843,68.156,182.409,250.535,282.599,0
128,8,hot,2056.5,4113,42.764,181.301,274.484,60.107,192.193,218.405,320.891,0
128,9,hot,2098.0,4196,41.103,175.389,279.304,62.669,211.320,305.889,343.268,0
128,10,hot,2092.5,4185,41.341,174.003,271.559,62.543,199.416,261.399,329.467,0
128,11,hot,2116.5,4233,41.218,176.128,276.101,62.731,192.402,310.995,328.232,0
128,12,hot,2131.0,4262,40.370,176.324,275.587,57.505,215.067,312.259,341.430,0
128,13,hot,2141.0,4282,41.407,172.306,262.454,58.991,202.124,319.054,333.733,0
128,14,hot,2121.0,4242,41.150,173.619,263.391,65.549,198.892,249.137,271.991,0
128,15,hot,2108.0,4216,41.584,180.923,263.231,58.935,168.140,244.389,250.615,0
128,16,hot,2164.5,4329,40.662,170.184,257.802,58.798,207.984,328.486,334.236,0
128,17,hot,2089.0,4178,41.470,180.060,280.160,61.108,192.673,281.040,293.359,0
128,18,hot,2116.0,4232,41.177,177.969,274.667,68.012,210.231,332.276,404.207,0
128,19,hot,2120.0,4240,40.403,181.159,269.932,64.817,195.205,272.900,354.585,0
256,0,hot,1482.5,2965,117.937,467.556,710.435,141.474,524.981,765.999,845.177,0
256,1,hot,1513.5,3027,114.088,475.684,690.904,146.145,453.916,660.528,756.462,0
256,2,hot,1506.0,3012,116.291,469.430,653.719,147.289,549.864,997.899,1180.145,0
256,3,hot,1544.0,3088,114.191,447.493,614.221,144.991,535.130,768.906,1059.516,0
256,4,hot,1547.0,3094,110.033,449.305,671.593,152.201,597.098,789.900,1166.228,0
256,5,hot,1572.5,3145,108.032,439.292,659.779,157.368,562.947,717.745,1231.942,0
256,6,hot,1536.0,3072,110.401,453.854,702.136,144.639,510.691,661.168,790.852,0
